Numero de Segmento,Distancia entre estaciones en metros,Tiempo promedio del segmento en segundos,Desviacion estandar del tiempo,Velocidad promedio del segmento m/s
1.0,440.0,102.77156459874048,29.879140706667176,15.412823636426499
2.0,590.0,75.17562087889563,24.33556107433869,28.2538404760456
3.0,470.0,73.3651706377661,21.67152701011657,23.062714709055843
4.0,490.0,76.05501101811673,44.87437350515551,23.193738011290343
5.0,430.0,88.37274604008044,30.993260203422487,17.51671266725063
6.0,650.0,87.91859517558885,31.615908991030437,26.61552991521998
7.0,630.0,76.58715483546217,20.716832670846177,29.61332099191452
8.0,650.0,82.71117535233446,23.765888291395655,28.29121929451526
9.0,730.0,142.91025412082593,25.915985941242994,18.389163298094147
10.0,620.0,149.56252920627526,56.5857954489361,14.923524039377844
11.0,1060.0,195.46425198018457,45.8715728367864,19.52275140513597
12.0,990.0,122.56179612477577,51.85001155083042,29.07920830706185
13.0,770.0,138.9258417934168,43.51433555221966,19.953091262329536
14.0,1520.0,202.79220117222064,51.585931588474054,26.98328618344115
15.0,820.0,93.42322753457384,29.45192585591536,31.598137614198045
16.0,880.0,186.79114016364449,42.68288261811948,16.960119185656076
17.0,360.0,91.17429856692992,35.4249785929847,14.214532169376904
